feature,feature_group,dtype,missing_count,missing_pct,unique_values,is_constant,proposed_action,recommended_encoding,implemented,justification
V52,vesta,float64,168969,28.6126,9,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V49,vesta,float64,168969,28.6126,6,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V48,vesta,float64,168969,28.6126,6,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V45,vesta,float64,168969,28.6126,49,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V43,vesta,float64,168969,28.6126,9,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V50,vesta,float64,168969,28.6126,6,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V47,vesta,float64,168969,28.6126,9,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V46,vesta,float64,168969,28.6126,7,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V44,vesta,float64,168969,28.6126,49,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V51,vesta,float64,168969,28.6126,7,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V35,vesta,float64,168969,28.6126,4,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V37,vesta,float64,168969,28.6126,55,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V36,vesta,float64,168969,28.6126,6,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V42,vesta,float64,168969,28.6126,9,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V39,vesta,float64,168969,28.6126,16,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V41,vesta,float64,168969,28.6126,2,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V38,vesta,float64,168969,28.6126,55,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
V40,vesta,float64,168969,28.6126,18,False,KEEP,none,False,"Low missing (28.61%), minimal preprocessing"
D4,time_delta,float64,168922,28.6047,808,False,KEEP,none,False,"Low missing (28.60%), minimal preprocessing"
P_emaildomain,email,object,94456,15.9949,59,False,KEEP + ENCODE,ordinal,False,"Categorical feature, ordinal/one-hot encoding"
V81,vesta,float64,89164,15.0987,20,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V90,vesta,float64,89164,15.0987,6,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V78,vesta,float64,89164,15.0987,32,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V75,vesta,float64,89164,15.0987,5,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V82,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V94,vesta,float64,89164,15.0987,3,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V83,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V84,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V85,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V86,vesta,float64,89164,15.0987,31,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V92,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V93,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V77,vesta,float64,89164,15.0987,31,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V87,vesta,float64,89164,15.0987,31,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V76,vesta,float64,89164,15.0987,7,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V79,vesta,float64,89164,15.0987,8,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V80,vesta,float64,89164,15.0987,20,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V91,vesta,float64,89164,15.0987,7,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V89,vesta,float64,89164,15.0987,3,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
V88,vesta,float64,89164,15.0987,2,False,KEEP,none,False,"Low missing (15.10%), minimal preprocessing"
D15,time_delta,float64,89113,15.0901,859,False,KEEP,none,False,"Low missing (15.09%), minimal preprocessing"
V67,vesta,float64,77096,13.0552,9,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V68,vesta,float64,77096,13.0552,3,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V71,vesta,float64,77096,13.0552,7,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V70,vesta,float64,77096,13.0552,7,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V69,vesta,float64,77096,13.0552,6,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V60,vesta,float64,77096,13.0552,17,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V59,vesta,float64,77096,13.0552,17,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V66,vesta,float64,77096,13.0552,8,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V74,vesta,float64,77096,13.0552,9,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V65,vesta,float64,77096,13.0552,2,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V63,vesta,float64,77096,13.0552,8,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V62,vesta,float64,77096,13.0552,11,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V61,vesta,float64,77096,13.0552,7,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V64,vesta,float64,77096,13.0552,8,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V72,vesta,float64,77096,13.0552,11,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V73,vesta,float64,77096,13.0552,8,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V54,vesta,float64,77096,13.0552,7,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V56,vesta,float64,77096,13.0552,52,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V58,vesta,float64,77096,13.0552,11,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V55,vesta,float64,77096,13.0552,18,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V53,vesta,float64,77096,13.0552,6,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V57,vesta,float64,77096,13.0552,7,False,KEEP,none,False,"Low missing (13.06%), minimal preprocessing"
V22,vesta,float64,76073,12.8819,9,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V20,vesta,float64,76073,12.8819,15,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V21,vesta,float64,76073,12.8819,6,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V27,vesta,float64,76073,12.8819,4,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V28,vesta,float64,76073,12.8819,4,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V29,vesta,float64,76073,12.8819,6,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V32,vesta,float64,76073,12.8819,15,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V31,vesta,float64,76073,12.8819,8,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V19,vesta,float64,76073,12.8819,8,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V18,vesta,float64,76073,12.8819,16,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V25,vesta,float64,76073,12.8819,7,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V24,vesta,float64,76073,12.8819,14,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V23,vesta,float64,76073,12.8819,14,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V26,vesta,float64,76073,12.8819,13,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V14,vesta,float64,76073,12.8819,2,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V15,vesta,float64,76073,12.8819,8,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V16,vesta,float64,76073,12.8819,15,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V30,vesta,float64,76073,12.8819,8,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V33,vesta,float64,76073,12.8819,7,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V34,vesta,float64,76073,12.8819,13,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V12,vesta,float64,76073,12.8819,4,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V13,vesta,float64,76073,12.8819,7,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
V17,vesta,float64,76073,12.8819,16,False,KEEP,none,False,"Low missing (12.88%), minimal preprocessing"
D10,time_delta,float64,76022,12.8733,818,False,KEEP,none,False,"Low missing (12.87%), minimal preprocessing"
addr2,address,float64,65706,11.1264,74,False,KEEP,none,False,"Low missing (11.13%), minimal preprocessing"
addr1,address,float64,65706,11.1264,332,False,KEEP,none,False,"Low missing (11.13%), minimal preprocessing"
card2,card,float64,8933,1.5127,500,False,KEEP,none,False,"Low missing (1.51%), minimal preprocessing"
card5,card,float64,4259,0.7212,119,False,KEEP,none,False,"Low missing (0.72%), minimal preprocessing"
card4,card,object,1577,0.267,4,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
card6,card,object,1571,0.266,4,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
card3,card,float64,1565,0.265,114,False,KEEP,none,False,"Low missing (0.27%), minimal preprocessing"
V282,vesta,float64,1269,0.2149,33,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V281,vesta,float64,1269,0.2149,23,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V283,vesta,float64,1269,0.2149,62,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V289,vesta,float64,1269,0.2149,13,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V288,vesta,float64,1269,0.2149,11,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V301,vesta,float64,1269,0.2149,14,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V296,vesta,float64,1269,0.2149,94,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V314,vesta,float64,1269,0.2149,11377,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V315,vesta,float64,1269,0.2149,6973,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V313,vesta,float64,1269,0.2149,5529,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V300,vesta,float64,1269,0.2149,12,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
D1,time_delta,float64,1269,0.2149,641,False,KEEP,none,False,"Low missing (0.21%), minimal preprocessing"
V107,vesta,float64,314,0.0532,2,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V108,vesta,float64,314,0.0532,8,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V109,vesta,float64,314,0.0532,8,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V133,vesta,float64,314,0.0532,9949,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V130,vesta,float64,314,0.0532,12332,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V131,vesta,float64,314,0.0532,4444,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V132,vesta,float64,314,0.0532,6560,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V137,vesta,float64,314,0.0532,4252,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V125,vesta,float64,314,0.0532,14,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V123,vesta,float64,314,0.0532,14,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V124,vesta,float64,314,0.0532,14,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V127,vesta,float64,314,0.0532,24414,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V126,vesta,float64,314,0.0532,10299,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V128,vesta,float64,314,0.0532,14507,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V129,vesta,float64,314,0.0532,1968,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V110,vesta,float64,314,0.0532,8,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V100,vesta,float64,314,0.0532,29,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V99,vesta,float64,314,0.0532,89,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V102,vesta,float64,314,0.0532,1285,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V106,vesta,float64,314,0.0532,56,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V134,vesta,float64,314,0.0532,8178,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V135,vesta,float64,314,0.0532,3724,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V136,vesta,float64,314,0.0532,4852,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V112,vesta,float64,314,0.0532,10,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V111,vesta,float64,314,0.0532,10,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V113,vesta,float64,314,0.0532,10,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V121,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V114,vesta,float64,314,0.0532,7,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V115,vesta,float64,314,0.0532,7,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V116,vesta,float64,314,0.0532,7,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V117,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V101,vesta,float64,314,0.0532,870,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V104,vesta,float64,314,0.0532,16,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V103,vesta,float64,314,0.0532,928,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V122,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V118,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V97,vesta,float64,314,0.0532,976,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V95,vesta,float64,314,0.0532,881,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V96,vesta,float64,314,0.0532,1410,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V105,vesta,float64,314,0.0532,100,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V119,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V120,vesta,float64,314,0.0532,4,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V98,vesta,float64,314,0.0532,13,False,KEEP,none,False,"Low missing (0.05%), minimal preprocessing"
V306,vesta,float64,12,0.002,16210,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V320,vesta,float64,12,0.002,6439,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V319,vesta,float64,12,0.002,4799,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V318,vesta,float64,12,0.002,12309,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V321,vesta,float64,12,0.002,5560,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V298,vesta,float64,12,0.002,94,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V295,vesta,float64,12,0.002,928,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V299,vesta,float64,12,0.002,50,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V294,vesta,float64,12,0.002,1286,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V291,vesta,float64,12,0.002,219,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V292,vesta,float64,12,0.002,173,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V297,vesta,float64,12,0.002,13,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V286,vesta,float64,12,0.002,9,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V287,vesta,float64,12,0.002,32,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V290,vesta,float64,12,0.002,58,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V285,vesta,float64,12,0.002,96,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V280,vesta,float64,12,0.002,975,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V279,vesta,float64,12,0.002,881,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V284,vesta,float64,12,0.002,13,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V293,vesta,float64,12,0.002,870,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V302,vesta,float64,12,0.002,17,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V308,vesta,float64,12,0.002,23064,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V307,vesta,float64,12,0.002,37367,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V310,vesta,float64,12,0.002,19136,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V312,vesta,float64,12,0.002,8068,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V303,vesta,float64,12,0.002,21,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V304,vesta,float64,12,0.002,17,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V305,vesta,float64,12,0.002,2,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V309,vesta,float64,12,0.002,4236,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V311,vesta,float64,12,0.002,3098,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V316,vesta,float64,12,0.002,9814,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
V317,vesta,float64,12,0.002,15184,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
card1,card,int64,0,0.0,13553,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
TransactionAmt,transaction,float64,0,0.0,20902,False,KEEP + TRANSFORM,none,False,Keep original + create log1p(TransactionAmt)
TransactionDT,transaction,int64,0,0.0,573349,False,ENGINEER,none,False,Convert to elapsed time features
isFraud,target,int64,0,0.0,2,False,KEEP,none,False,Target variable
ProductCD,product,object,0,0.0,5,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
C1,count,float64,0,0.0,1657,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C2,count,float64,0,0.0,1216,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C3,count,float64,0,0.0,27,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C7,count,float64,0,0.0,1103,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C4,count,float64,0,0.0,1260,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C5,count,float64,0,0.0,319,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C6,count,float64,0,0.0,1328,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C10,count,float64,0,0.0,1231,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C9,count,float64,0,0.0,205,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C8,count,float64,0,0.0,1253,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C11,count,float64,0,0.0,1476,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C14,count,float64,0,0.0,1108,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C13,count,float64,0,0.0,1597,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
C12,count,float64,0,0.0,1199,False,KEEP,none,False,"Low missing (0.00%), minimal preprocessing"
TransactionID,identifier,int64,0,0.0,590540,False,DROP,none,False,"Identifier column, not predictive"
